Unnamed: 0,As of Date: 1/20/2024Current,9/30/2023,6/30/2023,3/31/2023,12/31/2022,Ticker,10/31/2023,7/31/2023,4/30/2023,1/31/2023,10/31/2022,As of Date: 1/19/2024Current,11/30/2023,8/31/2023,5/31/2023,2/28/2023,11/30/2022,0,1
Trailing P/E,,12.65,13.65,12.99,15.31,RJF,,,,,,13.99,,,,,,,
Forward P/E,,10.36,10.50,9.95,11.04,RJF,,,,,,11.98,,,,,,,
PEG Ratio (5 yr expected),,1.07,1.09,1.03,1.07,RJF,,,,,,1.23,,,,,,,
Price/Sales (ttm),,1.95,2.05,1.87,2.12,RJF,,,,,,2.11,,,,,,,
Price/Book (mrq),,2.13,2.19,2.03,2.46,RJF,,,,,,2.31,,,,,,,
Enterprise Value/Revenue,,,,,,RJF,,,,,,,,,,,,,
Enterprise Value/EBITDA,,,,,,RJF,,,,,,,,,,,,,
Market Cap (intraday),24.10B,21.06B,19.56B,17.25B,15.78B,BR,,,,,,,,,,,,,
Enterprise Value,27.78B,24.46B,23.56B,21.33B,19.88B,BR,,,,,,,,,,,,,
Trailing P/E,36.33,33.78,35.47,32.64,30.48,BR,,,,,,,,,,,,,
Forward P/E,26.95,23.53,21.64,19.05,18.98,BR,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.15,1.88,2.18,2.01,1.77,BR,,,,,,,,,,,,,
Price/Sales (ttm),3.93,3.52,3.31,2.98,2.74,BR,,,,,,,,,,,,,
Price/Book (mrq),11.41,9.40,9.79,9.66,8.29,BR,,,,,,,,,,,,,
Enterprise Value/Revenue,4.48,17.09,12.81,12.96,15.38,BR,,,,,,,,,,,,,
Enterprise Value/EBITDA,21.26,106.58,44.54,58.46,108.29,BR,,,,,,,,,,,,,
Market Cap (intraday),22.64B,,,,,CCL,,,,,,,,20.00B,14.19B,13.40B,12.50B,,
Enterprise Value,52.11B,,,,,CCL,,,,,,,,50.61B,45.18B,45.25B,40.72B,,
Trailing P/E,5.99,,,,,CCL,,,,,,,,,,,,,
Forward P/E,16.34,,,,,CCL,,,,,,,,16.05,,128.21,14.24,,
PEG Ratio (5 yr expected),,,,,,CCL,,,,,,,,,,,,,
Price/Sales (ttm),1.01,,,,,CCL,,,,,,,,1.12,0.91,1.03,1.19,,
Price/Book (mrq),3.29,,,,,CCL,,,,,,,,3.41,2.30,1.90,1.49,,
Enterprise Value/Revenue,2.41,,,,,CCL,,,,,,,,7.38,9.20,10.21,10.61,,
Enterprise Value/EBITDA,11.91,,,,,CCL,,,,,,,,23.23,61.30,104.03,-69.48,,
Market Cap (intraday),23.88B,22.55B,24.66B,21.59B,19.66B,CHD,,,,,,,,,,,,,
Enterprise Value,25.71B,24.55B,26.87B,23.99B,21.73B,CHD,,,,,,,,,,,,,
Trailing P/E,55.07,50.62,60.02,52.62,26.96,CHD,,,,,,,,,,,,,
Forward P/E,28.49,26.95,32.47,28.90,25.45,CHD,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.99,3.45,4.15,3.78,3.92,CHD,,,,,,,,,,,,,
Price/Sales (ttm),4.15,4.01,4.48,4.05,3.75,CHD,,,,,,,,,,,,,
Price/Book (mrq),5.90,5.77,6.72,6.19,5.33,CHD,,,,,,,,,,,,,
Enterprise Value/Revenue,4.45,16.86,18.48,16.78,15.13,CHD,,,,,,,,,,,,,
Enterprise Value/EBITDA,28.97,77.36,76.10,68.06,-160.36,CHD,,,,,,,,,,,,,
Market Cap (intraday),,20.98B,20.53B,19.83B,25.04B,MTB,,,,,,23.16B,,,,,,,
Enterprise Value,,,,,,MTB,,,,,,,,,,,,,
Trailing P/E,,7.38,9.58,10.37,13.80,MTB,,,,,,7.99,,,,,,,
Forward P/E,,8.76,7.61,6.91,7.21,MTB,,,,,,9.35,,,,,,,
PEG Ratio (5 yr expected),,1.73,1.09,1.57,0.53,MTB,,,,,,1.34,,,,,,,
Price/Sales (ttm),,2.26,2.35,2.40,3.09,MTB,,,,,,2.44,,,,,,,
Price/Book (mrq),,0.88,0.88,0.85,1.06,MTB,,,,,,0.96,,,,,,,
Enterprise Value/Revenue,,,,,,MTB,,,,,,,,,,,,,
Enterprise Value/EBITDA,,,,,,MTB,,,,,,,,,,,,,
Market Cap (intraday),21.56B,20.47B,22.68B,22.58B,22.77B,DTE,,,,,,,,,,,,,
Enterprise Value,42.01B,40.31B,42.16B,41.78B,42.69B,DTE,,,,,,,,,,,,,
Trailing P/E,17.28,15.44,19.47,19.84,20.40,DTE,,,,,,,,,,,,,
Forward P/E,15.58,14.81,17.57,17.51,18.80,DTE,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.75,1.81,2.92,2.87,4.61,DTE,,,,,,,,,,,,,
Price/Sales (ttm),1.55,1.24,1.19,1.12,1.18,DTE,,,,,,,,,,,,,
Price/Book (mrq),1.99,1.95,2.13,2.17,2.69,DTE,,,,,,,,,,,,,
Enterprise Value/Revenue,3.04,13.96,15.71,11.06,9.54,DTE,,,,,,,,,,,,,
Enterprise Value/EBITDA,11.32,42.08,49.37,39.01,49.75,DTE,,,,,,,,,,,,,
Market Cap (intraday),21.44B,17.32B,19.39B,21.46B,23.90B,ARE,,,,,,,,,,,,,
Enterprise Value,32.49B,27.97B,30.07B,31.20B,34.30B,ARE,,,,,,,,,,,,,
Trailing P/E,89.38,29.53,24.78,39.49,43.88,ARE,,,,,,,,,,,,,
Forward P/E,16.69,,33.22,36.76,16.42,ARE,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,,,,,ARE,,,,,,,,,,,,,
Price/Sales (ttm),7.52,6.13,6.99,7.84,9.29,ARE,,,,,,,,,,,,,
Price/Book (mrq),1.15,0.91,1.03,1.13,1.41,ARE,,,,,,,,,,,,,
Enterprise Value/Revenue,11.69,39.53,42.69,44.53,50.55,ARE,,,,,,,,,,,,,
Enterprise Value/EBITDA,20.94,80.12,70.87,77.87,90.93,ARE,,,,,,,,,,,,,
Market Cap (intraday),21.35B,23.46B,23.82B,23.78B,22.50B,EBAY,,,,,,,,,,,,,
Enterprise Value,20.85B,24.57B,25.23B,25.73B,27.30B,EBAY,,,,,,,,,,,,,
Trailing P/E,8.26,18.60,42.56,,,EBAY,,,,,,,,,,,,,
Forward P/E,9.47,9.91,10.58,10.71,9.87,EBAY,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,3.68,2.58,2.54,2.11,EBAY,,,,,,,,,,,,,
Price/Sales (ttm),2.20,2.40,2.49,2.53,2.42,EBAY,,,,,,,,,,,,,
Price/Book (mrq),3.62,4.35,4.42,4.62,4.61,EBAY,,,,,,,,,,,,,
Enterprise Value/Revenue,2.07,9.83,9.93,10.25,10.88,EBAY,,,,,,,,,,,,,
Enterprise Value/EBITDA,5.09,13.93,62.30,29.82,25.73,EBAY,,,,,,,,,,,,,
Market Cap (intraday),22.87B,16.25B,17.08B,13.03B,10.37B,PHM,,,,,,,,,,,,,
Enterprise Value,23.43B,16.87B,18.17B,14.70B,12.84B,PHM,,,,,,,,,,,,,
Trailing P/E,8.67,6.16,6.74,5.29,4.65,PHM,,,,,,,,,,,,,
Forward P/E,9.90,6.54,9.00,7.87,6.80,PHM,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.33,0.41,0.56,0.49,,PHM,,,,,,,,,,,,,
Price/Sales (ttm),1.39,0.99,1.08,0.85,0.72,PHM,,,,,,,,,,,,,
Price/Book (mrq),2.28,1.65,1.84,1.46,1.26,PHM,,,,,,,,,,,,,
Enterprise Value/Revenue,1.37,4.21,4.34,4.11,2.42,PHM,,,,,,,,,,,,,
Enterprise Value/EBITDA,6.25,19.44,18.67,20.37,10.86,PHM,,,,,,,,,,,,,
Market Cap (intraday),22.93B,19.04B,19.64B,18.17B,18.15B,WAB,,,,,,,,,,,,,
Enterprise Value,26.60B,23.06B,23.40B,21.63B,21.71B,WAB,,,,,,,,,,,,,
Trailing P/E,30.48,28.34,30.55,29.21,27.73,WAB,,,,,,,,,,,,,
Forward P/E,19.38,17.01,19.76,18.21,17.67,WAB,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,,,,,WAB,,,,,,,,,,,,,
Price/Sales (ttm),2.44,2.14,2.31,2.21,2.26,WAB,,,,,,,,,,,,,
Price/Book (mrq),2.22,1.87,1.95,1.80,1.83,WAB,,,,,,,,,,,,,
Enterprise Value/Revenue,2.81,9.04,9.72,9.86,9.42,WAB,,,,,,,,,,,,,
Enterprise Value/EBITDA,15.89,46.87,55.31,55.18,59.16,WAB,,,,,,,,,,,,,
Market Cap (intraday),22.95B,19.06B,20.43B,17.45B,16.30B,HWM,,,,,,,,,,,,,
Enterprise Value,26.49B,22.68B,24.05B,20.99B,20.19B,HWM,,,,,,,,,,,,,
Trailing P/E,36.19,36.71,43.10,38.17,38.64,HWM,,,,,,,,,,,,,
Forward P/E,25.51,22.03,29.15,25.71,22.52,HWM,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.80,,,,,HWM,,,,,,,,,,,,,
Price/Sales (ttm),3.62,3.08,3.50,3.15,3.07,HWM,,,,,,,,,,,,,
Price/Book (mrq),6.01,5.12,5.51,4.92,5.05,HWM,,,,,,,,,,,,,
Enterprise Value/Revenue,4.12,13.68,14.59,13.09,13.34,HWM,,,,,,,,,,,,,
Enterprise Value/EBITDA,19.67,62.32,65.88,60.66,74.22,HWM,,,,,,,,,,,,,
Market Cap (intraday),22.91B,19.47B,20.71B,18.06B,14.74B,NVR,,,,,,,,,,,,,
Enterprise Value,21.02B,17.79B,18.92B,16.55B,13.98B,NVR,,,,,,,,,,,,,
Trailing P/E,15.17,12.73,13.37,11.33,10.31,NVR,,,,,,,,,,,,,
Forward P/E,17.30,12.24,16.75,15.97,17.48,NVR,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,,,,,NVR,,,,,,,,,,,,,
Price/Sales (ttm),2.53,2.05,2.12,1.86,1.65,NVR,,,,,,,,,,,,,
Price/Book (mrq),5.49,4.61,5.38,5.15,4.81,NVR,,,,,,,,,,,,,
Enterprise Value/Revenue,2.14,6.91,8.08,7.59,5.15,NVR,,,,,,,,,,,,,
Enterprise Value/EBITDA,10.19,32.32,39.24,37.17,23.87,NVR,,,,,,,,,,,,,
Market Cap (intraday),18.66B,20.30B,24.75B,27.30B,29.20B,ES,,,,,,,,,,,,,
Enterprise Value,44.68B,45.08B,48.52B,49.86B,51.01B,ES,,,,,,,,,,,,,
Trailing P/E,15.99,17.26,16.99,19.32,20.86,ES,,,,,,,,,,,,,
Forward P/E,11.53,12.50,16.31,17.99,19.23,ES,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.82,1.95,2.51,2.77,2.96,ES,,,,,,,,,,,,,
Price/Sales (ttm),1.52,1.60,1.96,2.21,2.47,ES,,,,,,,,,,,,,
Price/Book (mrq),1.19,1.31,1.57,1.76,1.91,ES,,,,,,,,,,,,,
Enterprise Value/Revenue,3.65,16.15,18.45,13.14,16.84,ES,,,,,,,,,,,,,
Enterprise Value/EBITDA,14.06,56.69,136.26,46.36,53.59,ES,,,,,,,,,,,,,
Market Cap (intraday),18.97B,,,,,WBA,,,,,,,17.19B,21.86B,26.22B,30.66B,35.79B,,
Enterprise Value,51.92B,,,,,WBA,,,,,,,49.99B,57.33B,61.96B,61.93B,68.79B,,
Trailing P/E,33.33,,,,,WBA,,,,,,,,,,,8.28,,
Forward P/E,6.64,,,,,WBA,,,,,,,5.97,6.17,6.27,7.91,9.24,,
PEG Ratio (5 yr expected),2.44,,,,,WBA,,,,,,,5.91,5.77,2.69,3.70,,,
Price/Sales (ttm),0.13,,,,,WBA,,,,,,,0.12,0.16,0.20,0.23,0.27,,
Price/Book (mrq),0.97,,,,,WBA,,,,,,,0.86,0.74,0.89,1.25,1.22,,
Enterprise Value/Revenue,0.36,,,,,WBA,,,,,,,1.36,1.62,1.75,1.78,2.06,,
Enterprise Value/EBITDA,21.28,,,,,WBA,,,,,,,140.02,148.91,159.68,47.35,-14.75,,
Market Cap (intraday),19.98B,,,,,HPE,19.73B,22.29B,18.56B,20.92B,18.28B,,,,,,,,
Enterprise Value,29.23B,,,,,HPE,30.16B,32.89B,28.95B,30.24B,28.40B,,,,,,,,
Trailing P/E,9.98,,,,,HPE,18.53,22.00,22.03,24.44,5.10,,,,,,,,
Forward P/E,8.09,,,,,HPE,7.19,7.96,6.92,7.86,6.95,,,,,,,,
PEG Ratio (5 yr expected),1.15,,,,,HPE,1.46,1.26,0.81,0.86,1.04,,,,,,,,
Price/Sales (ttm),0.69,,,,,HPE,0.68,0.77,0.64,0.75,0.68,,,,,,,,
Price/Book (mrq),0.94,,,,,HPE,0.96,1.09,0.92,1.05,0.89,,,,,,,,
Enterprise Value/Revenue,1.00,,,,,HPE,4.10,4.70,4.15,3.87,3.61,,,,,,,,
Enterprise Value/EBITDA,5.84,,,,,HPE,24.50,26.52,23.11,23.19,76.75,,,,,,,,
Market Cap (intraday),21.00B,19.11B,20.87B,16.02B,16.10B,LYV,,,,,,,,,,,,,
Enterprise Value,23.47B,20.40B,22.28B,18.11B,18.72B,LYV,,,,,,,,,,,,,
Trailing P/E,60.79,74.14,116.81,109.38,90.57,LYV,,,,,,,,,,,,,
Forward P/E,46.30,49.51,120.48,71.43,63.29,LYV,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.86,1.00,3.07,,,LYV,,,,,,,,,,,,,
Price/Sales (ttm),0.98,1.00,1.18,0.97,1.09,LYV,,,,,,,,,,,,,
Price/Book (mrq),94.71,,,,,LYV,,,,,,,,,,,,,
Enterprise Value/Revenue,1.11,2.50,3.96,5.79,4.36,LYV,,,,,,,,,,,,,
Enterprise Value/EBITDA,13.61,25.07,37.67,66.48,395.95,LYV,,,,,,,,,,,,,
Market Cap (intraday),20.95B,19.56B,20.59B,22.78B,22.89B,ETR,,,,,,,,,,,,,
Enterprise Value,46.97B,45.64B,46.21B,49.32B,49.50B,ETR,,,,,,,,,,,,,
Trailing P/E,14.28,14.12,17.77,20.06,18.26,ETR,,,,,,,,,,,,,
Forward P/E,13.72,12.85,14.51,16.05,16.61,ETR,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.62,1.96,1.71,2.47,2.58,ETR,,,,,,,,,,,,,
Price/Sales (ttm),1.65,1.45,1.46,1.61,1.74,ETR,,,,,,,,,,,,,
Price/Book (mrq),1.53,1.48,1.58,1.76,1.96,ETR,,,,,,,,,,,,,
Enterprise Value/Revenue,3.70,12.69,16.24,16.54,15.12,ETR,,,,,,,,,,,,,
Enterprise Value/EBITDA,9.47,26.79,34.45,47.77,55.97,ETR,,,,,,,,,,,,,
Market Cap (intraday),21.31B,19.12B,17.47B,15.51B,19.28B,MOH,,,,,,,,,,,,,
Enterprise Value,14.01B,12.70B,11.49B,10.40B,13.80B,MOH,,,,,,,,,,,,,
Trailing P/E,22.77,20.77,20.52,19.74,23.06,MOH,,,,,,,,,,,,,
Forward P/E,15.90,14.27,14.88,13.51,16.84,MOH,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,,,,,MOH,,,,,,,,,,,,,
Price/Sales (ttm),0.64,0.58,0.54,0.49,0.62,MOH,,,,,,,,,,,,,
Price/Book (mrq),5.49,5.28,5.31,5.23,6.30,MOH,,,,,,,,,,,,,
Enterprise Value/Revenue,0.42,1.49,1.38,1.28,1.68,MOH,,,,,,,,,,,,,
Enterprise Value/EBITDA,9.12,31.67,23.69,20.84,90.76,MOH,,,,,,,,,,,,,
Market Cap (intraday),21.88B,21.67B,22.22B,18.87B,18.44B,STE,,,,,,,,,,,,,
Enterprise Value,25.30B,24.59B,25.29B,21.86B,21.38B,STE,,,,,,,,,,,,,
Trailing P/E,40.11,181.34,210.26,,,STE,,,,,,,,,,,,,
Forward P/E,,,,,,STE,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,,,,,STE,,,,,,,,,,,,,
Price/Sales (ttm),4.23,4.31,4.55,4.00,3.88,STE,,,,,,,,,,,,,
Price/Book (mrq),3.54,3.51,3.66,3.12,3.16,STE,,,,,,,,,,,,,
Enterprise Value/Revenue,4.84,18.32,19.69,15.78,17.58,STE,,,,,,,,,,,,,
Enterprise Value/EBITDA,18.55,72.46,77.06,59.46,65.03,STE,,,,,,,,,,,,,
Market Cap (intraday),20.72B,19.51B,20.65B,21.24B,19.01B,DOV,,,,,,,,,,,,,
Enterprise Value,23.58B,22.65B,23.85B,24.74B,22.33B,DOV,,,,,,,,,,,,,
Trailing P/E,20.34,19.35,19.71,20.48,16.82,DOV,,,,,,,,,,,,,
Forward P/E,15.38,14.16,16.39,16.78,15.04,DOV,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.03,1.13,1.29,1.29,1.17,DOV,,,,,,,,,,,,,
Price/Sales (ttm),2.46,2.33,2.46,2.56,2.34,DOV,,,,,,,,,,,,,
Price/Book (mrq),4.29,4.19,4.63,4.95,4.74,DOV,,,,,,,,,,,,,
Enterprise Value/Revenue,2.78,10.52,11.36,11.90,10.44,DOV,,,,,,,,,,,,,
Enterprise Value/EBITDA,13.78,48.49,57.81,62.10,51.54,DOV,,,,,,,,,,,,,
Market Cap (intraday),21.24B,19.60B,22.29B,22.95B,23.98B,FE,,,,,,,,,,,,,
Enterprise Value,45.57B,43.43B,44.84B,44.44B,44.99B,FE,,,,,,,,,,,,,
Trailing P/E,38.96,42.73,54.76,56.42,19.06,FE,,,,,,,,,,,,,
Forward P/E,13.81,12.76,15.27,15.87,16.81,FE,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.40,2.13,2.55,2.64,4.20,FE,,,,,,,,,,,,,
Price/Sales (ttm),1.65,1.52,1.75,1.84,1.99,FE,,,,,,,,,,,,,
Price/Book (mrq),2.03,1.87,2.17,2.26,2.23,FE,,,,,,,,,,,,,
Enterprise Value/Revenue,3.53,12.46,14.92,13.75,14.16,FE,,,,,,,,,,,,,
Enterprise Value/EBITDA,11.38,39.52,47.10,44.31,46.91,FE,,,,,,,,,,,,,
Market Cap (intraday),20.97B,20.89B,23.37B,22.04B,21.78B,VRSN,,,,,,,,,,,,,
Enterprise Value,21.82B,21.74B,24.14B,22.85B,22.59B,VRSN,,,,,,,,,,,,,
Trailing P/E,29.30,29.96,34.71,33.87,27.36,VRSN,,,,,,,,,,,,,
Forward P/E,23.75,23.58,35.46,31.75,27.17,VRSN,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.07,1.91,3.17,2.69,3.39,VRSN,,,,,,,,,,,,,
Price/Sales (ttm),14.48,14.60,16.71,16.02,16.09,VRSN,,,,,,,,,,,,,
Price/Book (mrq),,,,,,VRSN,,,,,,,,,,,,,
Enterprise Value/Revenue,14.73,57.78,64.89,62.71,61.18,VRSN,,,,,,,,,,,,,
Enterprise Value/EBITDA,20.25,78.15,88.52,86.49,85.96,VRSN,,,,,,,,,,,,,
Market Cap (intraday),20.61B,19.39B,21.05B,19.11B,18.12B,INVH,,,,,,,,,,,,,
Enterprise Value,28.40B,26.74B,28.49B,26.61B,25.57B,INVH,,,,,,,,,,,,,
Trailing P/E,41.58,44.01,50.59,49.57,51.10,INVH,,,,,,,,,,,,,
Forward P/E,43.67,38.02,49.51,44.64,40.65,INVH,,,,,,,,,,,,,
PEG Ratio (5 yr expected),5.81,5.04,5.86,5.29,3.04,INVH,,,,,,,,,,,,,
Price/Sales (ttm),8.65,8.30,9.17,8.53,8.27,INVH,,,,,,,,,,,,,
Price/Book (mrq),2.01,1.89,2.06,1.86,1.76,INVH,,,,,,,,,,,,,
Enterprise Value/Revenue,11.89,43.30,47.46,45.12,44.11,INVH,,,,,,,,,,,,,
Enterprise Value/EBITDA,19.21,68.64,74.46,73.26,74.65,INVH,,,,,,,,,,,,,
Market Cap (intraday),21.36B,18.07B,21.11B,18.49B,17.99B,ROL,,,,,,,,,,,,,
Enterprise Value,22.12B,18.54B,21.34B,18.74B,18.27B,ROL,,,,,,,,,,,,,
Trailing P/E,53.17,47.25,54.91,50.04,52.20,ROL,,,,,,,,,,,,,
Forward P/E,40.82,35.59,48.08,42.92,43.29,ROL,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.90,2.69,3.58,3.64,4.22,ROL,,,,,,,,,,,,,
Price/Sales (ttm),7.29,6.41,7.63,6.86,6.83,ROL,,,,,,,,,,,,,
Price/Book (mrq),19.37,13.46,16.39,14.59,15.04,ROL,,,,,,,,,,,,,
Enterprise Value/Revenue,7.42,22.06,26.00,28.47,27.63,ROL,,,,,,,,,,,,,
Enterprise Value/EBITDA,33.02,91.66,117.07,134.35,125.20,ROL,,,,,,,,,,,,,
Market Cap (intraday),20.64B,14.78B,15.80B,14.52B,13.67B,EXPE,,,,,,,,,,,,,
Enterprise Value,22.12B,15.02B,16.40B,16.92B,15.59B,EXPE,,,,,,,,,,,,,
Trailing P/E,27.22,18.15,54.70,44.71,29.69,EXPE,,,,,,,,,,,,,
Forward P/E,12.61,8.73,11.74,10.93,10.45,EXPE,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.29,0.53,0.74,0.69,0.20,EXPE,,,,,,,,,,,,,
Price/Sales (ttm),1.82,1.35,1.46,1.35,1.24,EXPE,,,,,,,,,,,,,
Price/Book (mrq),12.34,8.19,8.62,6.36,5.92,EXPE,,,,,,,,,,,,,
Enterprise Value/Revenue,1.76,3.82,4.88,6.35,5.95,EXPE,,,,,,,,,,,,,
Enterprise Value/EBITDA,10.68,21.04,22.65,88.15,35.27,EXPE,,,,,,,,,,,,,
Market Cap (intraday),21.58B,21.73B,29.64B,36.74B,31.81B,ILMN,,,,,,,,,,,,,
Enterprise Value,22.92B,23.22B,31.19B,38.26B,33.33B,ILMN,,,,,,,,,,,,,
Trailing P/E,,,,,,ILMN,,,,,,,,,,,,,
Forward P/E,133.33,59.52,142.86,166.67,70.92,ILMN,,,,,,,,,,,,,
PEG Ratio (5 yr expected),3.57,1.27,2.92,3.44,4.06,ILMN,,,,,,,,,,,,,
Price/Sales (ttm),4.80,4.85,6.63,7.96,6.75,ILMN,,,,,,,,,,,,,
Price/Book (mrq),3.66,3.32,4.43,5.57,4.73,ILMN,,,,,,,,,,,,,
Enterprise Value/Revenue,5.13,20.75,26.52,35.20,30.78,ILMN,,,,,,,,,,,,,
Enterprise Value/EBITDA,-36.90,-35.45,820.69,780.83,-628.89,ILMN,,,,,,,,,,,,,
Market Cap (intraday),20.86B,16.84B,16.90B,15.17B,14.18B,PTC,,,,,,,,,,,,,
Enterprise Value,22.46B,18.49B,18.69B,16.34B,15.45B,PTC,,,,,,,,,,,,,
Trailing P/E,84.80,54.91,53.30,44.37,45.30,PTC,,,,,,,,,,,,,
Forward P/E,35.97,26.95,26.81,28.57,25.97,PTC,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.67,2.10,2.08,2.07,2.00,PTC,,,,,,,,,,,,,
Price/Sales (ttm),9.94,8.19,8.53,7.81,7.34,PTC,,,,,,,,,,,,,
Price/Book (mrq),7.79,6.48,6.71,6.32,6.18,PTC,,,,,,,,,,,,,
Enterprise Value/Revenue,10.71,33.82,34.47,30.13,33.16,PTC,,,,,,,,,,,,,
Enterprise Value/EBITDA,37.49,115.72,125.96,102.87,116.91,PTC,,,,,,,,,,,,,
Market Cap (intraday),20.51B,19.48B,18.71B,18.19B,18.05B,JBHT,,,,,,,,,,,,,
Enterprise Value,22.03B,20.63B,19.90B,19.40B,19.21B,JBHT,,,,,,,,,,,,,
Trailing P/E,28.51,23.02,20.55,19.05,18.24,JBHT,,,,,,,,,,,,,
Forward P/E,23.53,20.53,20.88,18.83,18.02,JBHT,,,,,,,,,,,,,
PEG Ratio (5 yr expected),5.52,4.02,3.42,2.80,1.73,JBHT,,,,,,,,,,,,,
Price/Sales (ttm),1.62,1.43,1.31,1.25,1.26,JBHT,,,,,,,,,,,,,
Price/Book (mrq),5.00,4.97,4.93,4.96,5.16,JBHT,,,,,,,,,,,,,
Enterprise Value/Revenue,1.72,6.52,6.35,6.01,5.26,JBHT,,,,,,,,,,,,,
Enterprise Value/EBITDA,22.19,48.04,44.15,42.79,42.26,JBHT,,,,,,,,,,,,,
Market Cap (intraday),21.30B,19.81B,19.52B,16.28B,16.14B,BRO,,,,,,,,,,,,,
Enterprise Value,24.41B,23.17B,23.07B,19.81B,19.84B,BRO,,,,,,,,,,,,,
Trailing P/E,28.45,27.07,28.33,24.23,25.78,BRO,,,,,,,,,,,,,
Forward P/E,24.75,24.45,27.03,23.04,22.88,BRO,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,,,,,BRO,,,,,,,,,,,,,
Price/Sales (ttm),5.09,4.90,5.10,4.49,4.66,BRO,,,,,,,,,,,,,
Price/Book (mrq),4.10,3.91,4.03,3.53,3.74,BRO,,,,,,,,,,,,,
Enterprise Value/Revenue,5.93,21.74,22.05,17.87,22.22,BRO,,,,,,,,,,,,,
Enterprise Value/EBITDA,17.64,67.48,64.89,50.25,68.19,BRO,,,,,,,,,,,,,
Market Cap (intraday),20.30B,17.40B,20.31B,23.46B,26.73B,IFF,,,,,,,,,,,,,
Enterprise Value,30.71B,28.10B,31.67B,34.59B,37.61B,IFF,,,,,,,,,,,,,
Trailing P/E,1.33k,,,,,IFF,,,,,,,,,,,,,
Forward P/E,19.16,15.08,16.92,19.05,17.92,IFF,,,,,,,,,,,,,
PEG Ratio (5 yr expected),16.10,6.73,4.01,1.24,1.11,IFF,,,,,,,,,,,,,
Price/Sales (ttm),1.75,1.47,1.66,1.89,2.12,IFF,,,,,,,,,,,,,
Price/Book (mrq),1.20,0.99,1.14,1.33,1.58,IFF,,,,,,,,,,,,,
Enterprise Value/Revenue,2.64,9.97,10.81,11.43,13.23,IFF,,,,,,,,,,,,,
Enterprise Value/EBITDA,18.11,60.96,69.91,86.27,98.72,IFF,,,,,,,,,,,,,
Market Cap (intraday),19.01B,,,,,DRI,,,,,,,18.70B,18.77B,19.19B,17.32B,17.92B,,
Enterprise Value,24.35B,,,,,DRI,,,,,,,23.96B,23.20B,23.54B,21.75B,22.18B,,
Trailing P/E,19.28,,,,,DRI,,,,,,,19.46,19.44,20.72,19.72,20.42,,
Forward P/E,18.08,,,,,DRI,,,,,,,17.86,17.64,17.83,16.21,19.12,,
PEG Ratio (5 yr expected),2.10,,,,,DRI,,,,,,,1.99,1.79,1.99,2.18,2.30,,
Price/Sales (ttm),1.76,,,,,DRI,,,,,,,1.78,1.82,1.90,1.79,1.91,,
Price/Book (mrq),9.32,,,,,DRI,,,,,,,8.70,8.53,9.39,8.57,8.68,,
Enterprise Value/Revenue,2.21,,,,,DRI,,,,,,,8.78,8.49,8.50,7.81,8.92,,
Enterprise Value/EBITDA,14.28,,,,,DRI,,,,,,,60.12,63.41,47.86,48.39,69.06,,
Market Cap (intraday),20.56B,19.23B,19.34B,21.03B,18.74B,TDY,,,,,,,,,,,,,
Enterprise Value,23.29B,22.22B,22.50B,24.31B,22.32B,TDY,,,,,,,,,,,,,
Trailing P/E,26.42,25.41,26.02,27.06,26.21,TDY,,,,,,,,,,,,,
Forward P/E,20.92,19.80,21.55,23.15,20.66,TDY,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,,,,,TDY,,,,,,,,,,,,,
Price/Sales (ttm),3.70,3.49,3.56,3.91,3.53,TDY,,,,,,,,,,,,,
Price/Book (mrq),2.36,2.24,2.31,2.57,2.44,TDY,,,,,,,,,,,,,
Enterprise Value/Revenue,4.14,15.85,15.79,17.57,15.74,TDY,,,,,,,,,,,,,
Enterprise Value/EBITDA,17.10,65.09,66.93,74.39,62.59,TDY,,,,,,,,,,,,,
Market Cap (intraday),20.42B,18.88B,18.57B,15.56B,13.55B,FLT,,,,,,,,,,,,,
Enterprise Value,26.31B,24.38B,24.09B,21.17B,19.45B,FLT,,,,,,,,,,,,,
